frame_id,track_id_a,track_id_b,stage,score_total,score_traj,score_rel,score_y,score_size,score_center,score_temp,score_support,conf_a,conf_b,boxh_a_ratio,boxh_b_ratio,y_a_ratio,y_b_ratio,consecutive_hits
108,5,19,expand,0.784485,0.676195,0.883249,0.852854,0.953072,0.825492,1.0,0.0,0.7186,0.6925,0.029472,0.029972,0.437056,0.445014,15
109,5,19,expand,0.823069,0.661155,0.792732,0.825582,0.885919,0.826125,1.0,0.788633,0.7247,0.7115,0.028222,0.029444,0.437847,0.447431,16
122,1,17,core,0.756627,0.71251,0.728042,0.82949,0.909021,0.571273,0.5,0.0,0.8445,0.8253,0.055639,0.057528,0.575986,0.585333,3
123,1,17,core,0.738055,0.751474,0.716411,0.763592,0.833646,0.572086,0.6,0.0,0.8473,0.8287,0.054708,0.058306,0.575319,0.588806,4
124,1,17,core,0.750839,0.780285,0.827091,0.70763,0.757222,0.573422,0.7,0.0,0.8362,0.8348,0.054208,0.05975,0.574681,0.591972,5
125,1,17,core,0.746688,0.777629,0.820112,0.668646,0.745694,0.574313,0.8,0.0,0.8366,0.8357,0.054444,0.060333,0.574653,0.594778,6
126,1,17,core,0.730269,0.765546,0.807016,0.628135,0.689346,0.575602,0.9,0.0,0.8407,0.8377,0.053833,0.061319,0.574319,0.597569,7
139,1,23,core,0.779092,0.637708,0.680716,0.975039,0.939569,0.631672,0.5,0.0,0.8265,0.815,0.049556,0.048486,0.561292,0.562556,3
140,1,23,core,0.779722,0.601546,0.699611,0.947801,0.92999,0.632781,0.6,0.0,0.8232,0.8148,0.049833,0.048583,0.560097,0.562778,4
141,1,23,core,0.77531,0.596004,0.66096,0.919023,0.946222,0.633383,0.7,0.0,0.8264,0.8215,0.050014,0.049056,0.558986,0.563208,5
141,28,20,expand,0.808798,0.679513,0.874258,0.952287,0.790697,0.785031,0.5,0.73161,0.7924,0.6205,0.033236,0.036083,0.489833,0.492278,3
142,1,23,core,0.796805,0.612613,0.708899,0.899575,0.955448,0.634102,0.8,0.0,0.8263,0.8253,0.050028,0.049236,0.557583,0.562875,6
143,1,23,core,0.832085,0.60868,0.840141,0.87639,0.949603,0.634594,0.9,0.0,0.8178,0.8235,0.050333,0.049431,0.555903,0.5625,7
162,16,19,core,0.741955,0.674612,0.742615,0.701953,0.965443,0.730656,0.5,0.0,0.8072,0.7677,0.03925,0.039736,0.483306,0.501,3
163,16,19,core,0.753663,0.676648,0.771689,0.711177,0.924397,0.731391,0.6,0.0,0.8105,0.7654,0.038833,0.039917,0.484153,0.501194,4
163,27,23,core,0.776368,0.699153,0.971489,0.695741,0.932709,0.362922,0.5,0.0,0.8344,0.7973,0.051208,0.052472,0.527139,0.545278,3
163,28,27,expand,0.821952,0.633121,0.952717,0.710388,0.928439,0.955914,0.5,0.974124,0.7682,0.7949,0.029778,0.029014,0.469083,0.486181,3
