frame_id,track_id_a,track_id_b,score_total,score_geom,score_reid,score_fused_pair,score_temp,score_center,num_valid_a,num_valid_b,best_total_score
34,11,6,0.836082,0.707384,0.903297,0.707384,0.128699,0.0,11,13,5.397647
34,2,26,0.828685,0.663502,0.904265,0.663502,0.165183,0.0,11,13,5.397647
34,7,8,0.753261,0.620755,0.925498,0.620755,0.132506,0.0,11,13,5.397647
34,6,2,0.7163,0.637623,0.947232,0.637623,0.078676,0.0,11,13,5.397647
34,8,3,0.956395,0.834324,0.984068,0.834324,0.12207,0.0,11,13,5.397647
35,5,21,0.601379,0.601379,0.904705,0.601379,0.0,0.0,11,13,5.40865
35,28,27,0.811697,0.679877,0.945954,0.679877,0.13182,0.0,11,13,5.40865
35,11,6,0.7576,0.7152,0.914169,0.7152,0.042401,0.0,11,13,5.40865
35,2,26,0.783077,0.647526,0.92588,0.647526,0.135551,0.0,11,13,5.40865
35,7,8,0.786135,0.626036,0.928165,0.626036,0.160099,0.0,11,13,5.40865
35,6,2,0.721452,0.638667,0.954249,0.638667,0.082785,0.0,11,13,5.40865
35,8,3,0.94731,0.827355,0.98069,0.827355,0.119955,0.0,11,13,5.40865
36,5,21,0.618202,0.618202,0.912529,0.618202,0.0,0.0,11,13,5.394546
36,28,27,0.826869,0.689542,0.951042,0.689542,0.137326,0.0,11,13,5.394546
36,11,6,0.763723,0.719347,0.924245,0.719347,0.044376,0.0,11,13,5.394546
36,2,26,0.754994,0.638442,0.935336,0.638442,0.116552,0.0,11,13,5.394546
36,7,8,0.763106,0.623574,0.925439,0.623574,0.139533,0.0,11,13,5.394546
36,6,2,0.723788,0.638932,0.956999,0.638932,0.084857,0.0,11,13,5.394546
36,8,3,0.943863,0.823359,0.976491,0.823359,0.120504,0.0,11,13,5.394546
37,5,13,0.652025,0.652025,0.827748,0.652025,0.0,0.0,11,12,5.308466
37,28,27,0.765558,0.726773,0.95378,0.726773,0.038785,0.0,11,12,5.308466
37,25,26,0.818628,0.70704,0.969003,0.70704,0.111588,0.0,11,12,5.308466
37,11,8,0.782327,0.660334,0.963847,0.660334,0.121993,0.0,11,12,5.308466
37,3,5,0.639116,0.588544,0.979533,0.588544,0.050572,0.0,11,12,5.308466
37,7,7,0.726751,0.676319,0.941974,0.676319,0.050432,0.0,11,12,5.308466
37,8,3,0.924062,0.828743,0.971393,0.828743,0.095319,0.0,11,12,5.308466
38,5,13,0.660463,0.660463,0.836553,0.660463,0.0,0.0,11,12,5.288211
38,28,27,0.781047,0.740751,0.958693,0.740751,0.040296,0.0,11,12,5.288211
38,25,26,0.820385,0.708091,0.97258,0.708091,0.112294,0.0,11,12,5.288211
38,11,8,0.782072,0.663689,0.966033,0.663689,0.118384,0.0,11,12,5.288211
