frame,global_id,cam,local_id,cls_id,x1,y1,x2,y2,cx,cy_bottom,score
12,5,A,5,3,702.16,345.16,751.74,383.07,726.95,383.07,0.8057
12,5,B,10,3,604.49,320.44,637.14,343.04,620.81,343.04,0.789
12,1,A,6,3,143.0,377.7,247.64,437.92,195.32,437.92,0.8116
12,1,B,2,3,258.09,409.72,338.06,477.31,298.08,477.31,0.8543
12,7,A,7,3,200.92,319.39,258.39,355.32,229.66,355.32,0.8408
12,7,B,23,3,276.7,296.78,306.1,315.6,291.4,315.6,0.4839
12,8,A,8,3,32.85,354.09,136.94,404.76,84.89,404.76,0.8611
12,8,B,7,3,180.59,343.53,232.36,381.42,206.48,381.42,0.819
12,10,A,10,3,608.03,312.52,640.81,339.72,624.42,339.72,0.7843
12,10,B,17,3,254.97,311.03,291.2,334.34,273.08,334.34,0.7325
12,13,A,13,3,626.91,277.54,649.8,297.38,638.35,297.38,0.7448
12,13,B,11,3,530.66,294.4,553.69,312.9,542.18,312.9,0.737
12,14,A,14,3,672.44,270.33,690.04,285.01,681.24,285.01,0.6321
12,14,B,15,3,554.65,284.5,572.57,299.62,563.61,299.62,0.7437
12,15,A,15,3,469.49,254.25,516.98,288.2,493.24,288.2,0.4198
12,15,B,25,3,502.64,262.08,514.9,272.28,508.77,272.28,0.4643
12,16,A,16,3,598.12,252.07,617.84,269.19,607.98,269.19,0.6148
12,16,B,24,3,453.79,263.15,467.05,276.52,460.42,276.52,0.5186
12,18,A,18,3,649.95,247.97,664.06,259.62,657.01,259.62,0.5545
12,18,B,19,3,464.81,269.4,480.47,283.12,472.64,283.12,0.6498
12,11,A,20,3,671.69,247.4,683.35,258.49,677.52,258.49,0.5211
12,11,B,18,3,538.82,272.68,554.27,285.34,546.54,285.34,0.6479
12,19,A,23,3,629.38,240.49,640.5,248.23,634.94,248.23,0.5811
12,19,B,22,3,518.03,261.97,533.3,272.99,525.67,272.99,0.5893
12,10,A,25,3,275.64,572.34,467.35,719.92,371.5,719.92,0.9054
12,10,B,1,3,491.42,390.7,551.57,447.7,521.49,447.7,0.863
13,1,A,1,3,889.37,480.49,1028.41,560.37,958.89,560.37,0.8719
13,1,B,6,3,702.71,362.36,764.36,398.09,733.54,398.09,0.8458
13,2,A,2,3,400.33,366.1,474.92,421.11,437.63,421.11,0.8865
13,2,B,3,3,73.25,385.23,160.33,442.51,116.79,442.51,0.8052
13,3,A,3,3,117.23,423.55,261.11,510.55,189.17,510.55,0.8764
13,3,B,5,3,338.0,461.41,431.77,554.37,384.88,554.37,0.854
13,4,A,4,3,507.38,316.19,549.84,347.34,528.61,347.34,0.8014
13,4,B,8,3,487.67,335.8,525.69,368.25,506.68,368.25,0.8068
13,5,A,5,3,703.18,343.72,753.01,381.97,728.1,381.97,0.79
13,5,B,10,3,604.55,319.18,637.22,341.91,620.88,341.91,0.7715
13,1,A,6,3,140.24,378.58,245.16,440.39,192.7,440.39,0.8098
13,1,B,2,3,256.9,410.57,337.53,479.99,297.22,479.99,0.8497
13,7,A,7,3,200.8,319.56,259.75,355.48,230.28,355.48,0.8308
13,7,B,23,3,277.4,296.44,307.64,315.17,292.52,315.17,0.5111
13,8,A,8,3,31.77,354.59,137.27,405.49,84.52,405.49,0.8645
13,8,B,7,3,180.58,343.3,232.49,381.42,206.53,381.42,0.8064
13,10,A,10,3,610.12,310.94,642.04,338.2,626.08,338.2,0.7925
